party,,,,D,R,R,D,D,D,R,D,D,R,D,D,R,R,R,D,D,D,D,D,R,D,R,R,R,D,R,R,R,R,D,D,D,R,R,D,D,R,R,R,D,D,R,R,R,D,R,R,D,D,D,D,D,R,D,D,D,D,ID,D,R,R,R,D,R,D,D,D,R,D,D,D,D,D,D,R,R,D,D,I,D,R,D,R,R,R,D,D,R,D,D,R,R,D,D,D,R,D,D,D,D,D,D,D,R,D
111,Senate,1,159,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Voting,Not Voting,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,160,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,161,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,162,No,Not Voting,Yes,No,No,No,Yes,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Not Voting,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Not Voting,No,No,No,Yes,No,Not Voting,No,No,Not Voting,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not Voting,Not Voting,,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,
111,Senate,1,163,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Voting,Not Voting,,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Not Voting,Yes,Yes,Not Voting,No,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,164,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Not Voting,Not Voting,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Voting,Yes,Yes,Not Voting,Yes,No,Yes,No,Yes,No,,,,
111,Senate,1,165,No,Yes,Yes,No,No,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Not Voting,Not Voting,,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Not Voting,No,No,Not Voting,Yes,No,No,No,No,No,,,,
111,Senate,1,166,No,Yes,Yes,No,Yes,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Not Voting,No,No,No,No,No,No,Yes,Not Voting,Not Voting,,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Not Voting,Yes,No,No,No,No,No,,,,
111,Senate,1,167,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,No,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,168,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,No,Yes,Yes,Yes,Not Voting,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Not Voting,Yes,Yes,No,Yes,Yes,Yes,,,,
111,Senate,1,169,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Not Voting,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Not Voting,No,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Not Voting,,Not Voting,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Not Voting,Yes,No,No,No,Yes,No,,,,
111,Senate,1,170,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Not Voting,Yes,No,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,171,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,172,Yes,No,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Voting,,Yes,Yes,Not Voting,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,
111,Senate,1,173,Yes,No,No,Yes,No,Yes,No,,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Not Voting,,Yes,Yes,Not Voting,Yes,No,No,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,,
111,Senate,1,174,Yes,No,No,No,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Not Voting,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Not Voting,,Yes,Yes,Not Voting,Yes,No,No,,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,,,
111,Senate,1,175,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Not Voting,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,176,No,No,Yes,No,Yes,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Not Voting,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Not Voting,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Not Voting,Not Voting,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Not Voting,,No,No,Yes,Not Voting,Yes,Yes,,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,,,
111,Senate,1,177,No,Yes,Yes,No,No,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Not Voting,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Not Voting,Not Voting,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Not Voting,,No,No,Yes,Not Voting,Yes,Yes,,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,,
111,Senate,1,178,No,Yes,Yes,No,No,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Not Voting,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Not Voting,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Not Voting,,No,No,Yes,Not Voting,Yes,No,,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,,
111,Senate,1,179,No,Yes,Yes,Not Voting,No,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Not Voting,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Not Voting,,No,No,Yes,No,Yes,Yes,,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,,,
111,Senate,1,180,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,181,No,Yes,Yes,No,Not Voting,No,No,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Not Voting,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Not Voting,,No,No,Yes,No,Yes,Yes,,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,,,
111,Senate,1,182,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Not Voting,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Voting,,Yes,Yes,No,Yes,No,Yes,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,183,No,Yes,Yes,No,Yes,No,Yes,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Not Voting,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Not Voting,,No,No,Yes,No,Yes,Yes,,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,,,
111,Senate,1,184,Yes,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,185,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,186,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,187,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,188,No,No,Yes,Yes,Yes,Yes,Yes,,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Voting,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Not Voting,,Yes,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,,,
111,Senate,1,189,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Not Voting,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,190,No,No,Yes,No,No,No,No,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Not Voting,Yes,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,Not Voting,No,No,No,No,No,Yes,No,Yes,No,No,Not Voting,No,No,No,No,No,No,No,Yes,Yes,Not Voting,,No,No,Yes,No,Yes,No,,No,No,Yes,No,No,Yes,Yes,No,No,Not Voting,Yes,No,No,No,No,No,No,,,
111,Senate,1,191,No,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Not Voting,Yes,Yes,Yes,No,No,Yes,Not Voting,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Not Voting,No,No,No,No,No,Yes,Yes,No,No,Not Voting,,Yes,Yes,No,No,No,No,,No,No,No,Yes,Yes,No,Not Voting,No,Yes,Not Voting,No,Yes,Yes,No,Yes,Yes,No,,,
111,Senate,1,192,No,Yes,Yes,No,Yes,No,Yes,,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,Yes,Yes,Yes,No,No,Not Voting,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Voting,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Not Voting,,No,No,Yes,Yes,Yes,Yes,,No,No,Yes,Yes,No,Yes,Yes,No,No,Not Voting,Yes,No,No,No,Yes,Yes,Yes,,,
111,Senate,1,193,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,194,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,195,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,No,Yes,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
